Player,Team,Player_Strength
Siduzord,Stellae Gaming,0.0
phc,Stellae Gaming,0.0
Loweed,TotalePRO,0.0
RND,TotalePRO,0.0
duhT,TotalePRO,0.0
aduka,Todak,0.0
Jway,RED Canids,0.0
glym,RED Canids,0.0
Saalped,RED Canids,0.0
Kiuuuu,Oblivion Force,0.0
YESicaN,Fancy United Esports,0.0
riyabtw,Oblivion Force,0.0
forbanz,Orquestra Do Maestro,0.0
cidZzZ,Legacy,0.0
Kenkayyy,Orquestra Do Maestro,0.0
ntk,Orquestra Do Maestro,0.0
skz,Orquestra Do Maestro,0.0
binzo,Made in Bandung Widyatama x Binus,0.0
FYRR73,把牛變成鱒魚,0.0
Stwz1,A nova onda do Imperador,0.0
Tisora,A nova onda do Imperador,0.0
YanLi,把牛變成鱒魚,0.0
Ra1ny,把牛變成鱒魚,0.0
TORONTO,SAGAZ,0.0
Hotsauz,ZOL Esports,0.0
Emman,ZOL Esports,0.0
Septem7,All Gamers,0.0
pollo,THE 7,0.0
solo88,LANDODGERS,0.0
Adept,Soi Thai Esports,0.0
miz,Himothys,0.0
Bullet,Soi Thai Esports,0.0
Haeart,Soi Thai Esports,0.0
Pr1ck,Blue Eyes White Dragon,0.0
N11,Be Man,0.0
Selin,Be Man,0.0
Ginilson,TotalePRO,0.0
zaninZS,A nova onda do Imperador,0.0
axeddy,A nova onda do Imperador,0.0
Irex,Soi Thai Esports,0.0
Bak1,OCU,0.0
YungEn,OCU,0.0
ventura,nobody in Paris,0.0
Aeric,Aspyre x Swarm,0.0
Impecunity,Rival Esports,0.0
Reverie,Rival Esports,0.0
twelve,Rival Esports,0.0
persona11,Rival Esports,0.0
bruninej,TotalePRO,0.0
lenne,IGNITE,0.0
Tempz,IGNITE,0.0
HiiiK,SAGAZ,0.0
str0nda,SAGAZ,0.0
turkish,SAGAZ,0.0
kimmy,Team Coldan,0.0
toffywoffy,Watermelon,0.0
hyk,IGNITE,0.0
bryce,First Round Out,0.0
rodd,SAGAZ,0.0
jeed,5 Budak Gemuk,0.0
kooniiee,5 Budak Gemuk,0.0
kira,Not Your Business Female,0.0
Chard,FINIX ALPHA,0.0
zui,Made in Bandung Widyatama x Binus,0.0
OnigiRi,La Familia,0.0
poupi,Team Poupi,0.0
Toy,Soi Thai Esports,0.0
lukxo,Galorys,0.0
Sato,Galorys,0.0
fragile,5 Budak Gemuk,0.0
Maxxyy,First Round Out,0.0
ESMONDE,First Round Out,0.0
maestr0,Orquestra Do Maestro,0.0
prince,THE 7,0.0
RedKoh,IGNITE,0.0
Iceyyy,Xipto Esports,
BugattiVeyron,All Gamers Young,
gyen,DetonatioN FocusMe,
f0rsakeN,INHS Yining,
keisu,BLUE BEES.ESP,
abu,esports team αD,
CHAK,Chaos Alliance,
JCL,ZOL Esports,
ckuma,Chaos Alliance,
may,Elation Vortex,
Laiyin,Ambitious Legend Gaming GC,
1hp,Ambitious Legend Gaming GC,
1yee1wee1yee1wee,Evil Samurai,
zeRo,Evil Samurai,
Hasagiii,Blue Eyes White Dragon,
HoneyBunny,ZETA DIVISION Academy,
Ya0yU1,Daojiang Husky,
斗鱼丶阿肆,Niflheimr,
phonics,Stellae Gaming,
明日花,TWA,
BengYan,Jester Circus,
LEV Demon1,INHS Yining,
PRX something,INHS Yining,
RMoMoツ,momo親子台,
CMoMoツ,momo親子台,
FMoMoツ,momo親子台,
SMoMoツ,momo親子台,
BMoMoツ,momo親子台,
HenB1N,Daojiang Husky,
XiaoXu,Daojiang Husky,
V1ncy,Daojiang Husky,
vapen,Moist x Shopify,
KiNN,Evil Samurai,
XiaoYu,Evil Samurai,
syazren,Lucia Rankers,
Ruka,Team CombatBaby,
k41zE,Hungkuang Falcon,
movi,Made in Bandung Widyatama x Binus,
XUAN,吳恩熙瓜汁,
Lone1y,吳恩熙瓜汁,
X1ao3oヅ,吳恩熙瓜汁,
PuzzDn,吳恩熙瓜汁,
rawrieee,Team sol8erry,
tortis,Team sol8erry,
sol8erry,Team sol8erry,
MAKIMA,STU樹德暴風樹,
Dio,STU樹德暴風樹,
TianDi,STU樹德暴風樹,
Zhe,STU樹德暴風樹,
FATZHAI,INHS Yining,
PangXinXin,INHS Yining,
lSAGI,INHS Yining,
MINJU,ZFE,
glacier,姊姊壞了我好愛,
命运不配做我的对手,姊姊壞了我好愛,
Teddy,姊姊壞了我好愛,
姊姊好壞我好愛,姊姊壞了我好愛,
吳恩希,吳恩熙瓜汁,
xdd,姊姊壞了我好愛,
CIC,TWA,
Asuka,TWA,
ESOTERIC,Team ESOTERIC,
espressomilk,Team ESOTERIC,
Aimlab132K,FOP,
YouKnow,FOP,
강아지,FOP,
Neko,FOP,
R4t,HKUF,
KaiSeN,HKUF,
SGe,HKUF,
PuFF,HKUF,
失败总是贯彻人生始终,HKUF,
吧噗的狗汪汪,你媽買菜必漲價,
IceFeaTheR,你媽買菜必漲價,
faithz0r,2Game Esports,
Bosheng,LP33,
1111111 Fu,LP33,
sheepy,Team yanxinng,
JwN,Team yanxinng,
OrcaZZ,TWA,
xzzcat,TWA,
妳知道雞米花的花語是什麼嗎,TWA,
XmA,VNU Esports,
ONLY,VNU Esports,
Murphy,S2 Esports,
YcC,FOP,
s5hao,FOP,
天安門第一坦克手,你媽買菜必漲價,
沒心情,CSU,
Noelowo,CSU,
Haby,CSU,
yehren,Lucia Zenith,
krys,Team JoshF,
Meracle,Lucia Zenith,
WarreN,Eclipse Nexus,
altG,Team Rotib4kar,
Rotibak4r,Team Rotib4kar,
Roz,SYS ReigN Esports,
yanxinng,Team yanxinng,
QUQUQUQUQ,你媽買菜必漲價,
我期待的不是雪而是有你的冬天,你媽買菜必漲價,
Jeicchu,Team Jeicchu,
Shintaroux,Team Jeicchu,
Boyu,Team Jeicchu,
Calamari,Team Jeicchu,
Shiki,Team Jeicchu,
foxy,Fancy United Esports,
oyasumii,Team Micera,
einzuri,Team Micera,
Micera,Team Micera,
Teddy,LANDODGERS,
Pony,LANDODGERS,
Melancholy,LANDODGERS,
X1aoMa0,LANDODGERS,
tok1o,Fancy United Esports,
xiaoxia,TUMT Orcinus,
IFlySausages,Primordials,
R1abb,Young Warriors,
DonDon,Young Warriors,
LoNglOnG,Young Warriors,
Ord1nary,Young Warriors,
rzk,CSU,
Bulang,CSU,
Behappy,ZFE,
LumiQQ,ZFE,
Yii,TUMT Orcinus,
uuuuuuuuuuuuuuuu,GOOD BOY,
Nastiness,GOOD BOY,
Owen,GOOD BOY,
Setrod,GOOD BOY,
Nightmare,TUMT Orcinus,
Spectre,TUMT Orcinus,
MiuMiuKK,TUMT Orcinus,
KaneKizz,Young Warriors,
Dynamite,Titan Esports Club,
X1ngX1nG,ZFE,
QiaoEn,OCU,
YuFan,STU樹德暴風樹,
Milktea,ZFE,
Yzz,ROA Esport,
