name,team,url,url_90d
ezzy,MiBH,https://www.vlr.gg/player/7485/ezzy?timespan=all,https://www.vlr.gg/player/7485/ezzy?timespan=all/?timespan=90d
vibhoRR,MiBH,https://www.vlr.gg/player/3268/vibhorr?timespan=all,https://www.vlr.gg/player/3268/vibhorr?timespan=all/?timespan=90d
Yuvi,MiBH,https://www.vlr.gg/player/46051/yuvi?timespan=all,https://www.vlr.gg/player/46051/yuvi?timespan=all/?timespan=90d
Excali,MiBH,https://www.vlr.gg/player/3271/excali?timespan=all,https://www.vlr.gg/player/3271/excali?timespan=all/?timespan=90d
iNaz,DRAGONS,https://www.vlr.gg/player/44546/inaz?timespan=all,https://www.vlr.gg/player/44546/inaz?timespan=all/?timespan=90d
AL7B,DRAGONS,https://www.vlr.gg/player/36073/al7b?timespan=all,https://www.vlr.gg/player/36073/al7b?timespan=all/?timespan=90d
k1Ng,DRAGONS,https://www.vlr.gg/player/17648/k1ng?timespan=all,https://www.vlr.gg/player/17648/k1ng?timespan=all/?timespan=90d
Rayy,DRAGONS,https://www.vlr.gg/player/27313/rayy?timespan=all,https://www.vlr.gg/player/27313/rayy?timespan=all/?timespan=90d
Sogeking,DRAGONS,https://www.vlr.gg/player/46250/sogeking?timespan=all,https://www.vlr.gg/player/46250/sogeking?timespan=all/?timespan=90d
Darwin,DRAGONS,https://www.vlr.gg/player/35761/darwin?timespan=all,https://www.vlr.gg/player/35761/darwin?timespan=all/?timespan=90d
a7med,DRAGONS,https://www.vlr.gg/player/47585/a7med?timespan=all,https://www.vlr.gg/player/47585/a7med?timespan=all/?timespan=90d
dgzin,LOUD,https://www.vlr.gg/player/8873/dgzin?timespan=all,https://www.vlr.gg/player/8873/dgzin?timespan=all/?timespan=90d
v1nny,LOUD,https://www.vlr.gg/player/1586/v1nny?timespan=all,https://www.vlr.gg/player/1586/v1nny?timespan=all/?timespan=90d
pANcada,LOUD,https://www.vlr.gg/player/683/pancada?timespan=all,https://www.vlr.gg/player/683/pancada?timespan=all/?timespan=90d
tuyz,LOUD,https://www.vlr.gg/player/2408/tuyz?timespan=all,https://www.vlr.gg/player/2408/tuyz?timespan=all/?timespan=90d
cauanzin,LOUD,https://www.vlr.gg/player/6193/cauanzin?timespan=all,https://www.vlr.gg/player/6193/cauanzin?timespan=all/?timespan=90d
mat,LOUD,https://www.vlr.gg/player/5709/stkj?timespan=all,https://www.vlr.gg/player/5709/stkj?timespan=all/?timespan=90d
wedid,Turtle Troop,https://www.vlr.gg/player/1856/wedid?timespan=all,https://www.vlr.gg/player/1856/wedid?timespan=all/?timespan=90d
jowa,Turtle Troop,https://www.vlr.gg/player/19292/jowa?timespan=all,https://www.vlr.gg/player/19292/jowa?timespan=all/?timespan=90d
bdog,Turtle Troop,https://www.vlr.gg/player/844/bdog?timespan=all,https://www.vlr.gg/player/844/bdog?timespan=all/?timespan=90d
Kaoticcc,Turtle Troop,https://www.vlr.gg/player/4917/kaoticcc?timespan=all,https://www.vlr.gg/player/4917/kaoticcc?timespan=all/?timespan=90d
