Player,Team,Player_Strength,Total_Rounds_Played
UR,REIGNITE Lily,82.27,1423.0
Kiuuuu,Oblivion Force,82.27,4032.0
Splotza,B SITE GAMING,82.27,125.0
Cowpie867,YDZ Mafia,82.23,4006.0
sayfposting,Seulgi Fanclub,82.19,430.0
Tisora,A nova onda do Imperador,82.18,8109.0
meli,Stacked Like Pancakes,82.18,496.0
lux9,Zerance,82.17,3316.0
soren,KCORP Blue Stars,82.15,2450.0
Iceyyy,Xipto Esports,82.15,365.0
jay,First Round Out,82.14,372.0
Mojer,NAOS,82.1,4951.0
Zyppan,Gentle Mates,82.08,9249.0
Kirito,Chaos Alliance,82.08,59.0
bzt,Pixel Lumina,82.06,10125.0
Dep,ZETA DIVISION,82.06,6353.0
forbanz,DELIRA,82.04,5271.0
k1Ng,DRAGONS,82.02,7091.0
UNFAKE,Joblife,81.99,7095.0
meL,Shopify Rebellion Gold,81.91,12262.0
sym,TSM,81.88,9831.0
Meteor,T1,81.87,6466.0
Felix,ALTERNATE aTTaX,81.86,6081.0
Avvix,Al-Qadsiah Esports,81.86,4402.0
Loita,BBL PCIFIC,81.86,2822.0
Bosheng,LP33,81.86,118.0
musashi,Eintracht Frankfurt,81.81,9057.0
Tiezzi,Grêmio Esports,81.81,1524.0
QutionerX,Eternal Fire,81.81,4605.0
tortis,Team sol8erry,81.8,166.0
nAts,Team Liquid,81.77,8741.0
bao,Trust In Plug,81.76,5023.0
Chaza,SheshMans,81.74,586.0
Perry,Moon,81.67,1555.0
nzr,MIBR,81.67,6591.0
Bugh1nio,MixPe,81.66,558.0
nephh,Bilibili Gaming,81.64,4883.0
Shiro,BOOM Esports,81.6,8039.0
appA,unsigned,81.58,3228.0
Jackk,Overtake,81.57,4852.0
krejz,Barça eSports,81.57,1683.0
starkk,Falke Esports,81.56,7247.0
dgzin,LOUD,81.55,5722.0
PKX,PEEK,81.55,3284.0
ismazao,bloodS,81.54,101.0
Minny,Gentle Mates,81.54,6903.0
TajReX,Zero Tenacity,81.51,3070.0
bdog,Turtle Troop,81.5,11597.0
d4v41,Paper Rex,81.5,10220.0
YOME,DRX Changers,81.49,1099.0
