Player,Team,Rating,ACS,KD,ADR,KAST,KPR,APR,FKPR,FDPR,Total_Rounds_Played,url,tier_m,region_m
NemuiZzZz,Dreams To Legends,0.829,156.488,0.754,102.919,0.602,0.558,0.345,0.095,0.12,43.0,https://www.vlr.gg/player/48961/nemuizzzz?timespan=all,0.82,0.82
patrickWHO,Global Esports,1.194,271.613,1.272,177.346,0.746,0.972,0.192,0.204,0.158,1061.0,https://www.vlr.gg/player/44259/patrickwho?timespan=all,0.985,0.927
UdoTan,Global Esports,1.146,238.943,1.124,154.41,0.713,0.83,0.196,0.176,0.12,2501.0,https://www.vlr.gg/player/4428/udotan?timespan=all,0.996,0.98
Deryeon,Global Esports,1.054,222.734,1.122,142.465,0.727,0.791,0.209,0.163,0.133,8332.0,https://www.vlr.gg/player/9152/deryeon?timespan=all,0.989,0.944
HellrangeR,Global Esports,1.004,183.417,1.065,117.466,0.73,0.668,0.284,0.068,0.067,8460.0,https://www.vlr.gg/player/3622/hellranger?timespan=all,0.978,0.907
Vatsal,Global Esports,0.7,135.768,0.68,83.759,0.803,0.507,0.21,0.05,0.062,99.0,https://www.vlr.gg/player/4032/vatsal?timespan=all,0.82,0.82
Juv3nile,Global Esports,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,https://www.vlr.gg/player/10075/juv3nile?timespan=all,0.85,0.85
saxx,Original Gaming,0.966,169.249,0.913,113.166,0.704,0.612,0.389,0.068,0.058,805.0,https://www.vlr.gg/player/48576/saxx?timespan=all,0.955,0.78
Hansia,Original Gaming,1.083,227.694,1.094,151.358,0.71,0.792,0.23,0.125,0.11,2176.0,https://www.vlr.gg/player/41536/hansia?timespan=all,0.955,0.78
Kuro,Original Gaming,0.96,219.082,0.995,139.961,0.674,0.757,0.207,0.162,0.182,1305.0,https://www.vlr.gg/player/44152/kuro?timespan=all,0.955,0.819
bobae,Original Gaming,1.007,199.811,1.012,132.417,0.707,0.709,0.277,0.085,0.086,2085.0,https://www.vlr.gg/player/41538/bobae?timespan=all,0.955,0.78
BMoMoツ,momo親子台,0.805,171.845,0.754,115.754,0.631,0.583,0.186,0.089,0.106,186.0,https://www.vlr.gg/player/46879/bmomo?timespan=all,0.82,0.82
SMoMoツ,momo親子台,0.4,139.5,0.42,92.3,0.47,0.41,0.16,0.09,0.28,32.0,https://www.vlr.gg/player/49947/smomo?timespan=all,0.82,0.82
FMoMoツ,momo親子台,1.027,219.125,0.962,131.347,0.658,0.811,0.188,0.033,0.097,32.0,https://www.vlr.gg/player/49948/fmomo?timespan=all,0.82,0.82
CMoMoツ,momo親子台,0.33,123.5,0.41,85.3,0.38,0.41,0.13,0.0,0.31,32.0,https://www.vlr.gg/player/49949/cmomo?timespan=all,0.82,0.82
RMoMoツ,momo親子台,0.344,101.531,0.311,66.019,0.531,0.281,0.254,0.0,0.125,32.0,https://www.vlr.gg/player/49950/rmomo?timespan=all,0.82,0.82
Rem,BC SWELL,1.054,248.243,1.127,151.858,0.67,0.868,0.167,0.222,0.16,1282.0,https://www.vlr.gg/player/17083/rem?timespan=all,0.966,0.88
Allen,BC SWELL,0.982,185.297,0.966,120.836,0.739,0.641,0.38,0.069,0.075,3565.0,https://www.vlr.gg/player/17111/allen?timespan=all,0.96,0.854
Jan,BC SWELL,1.087,195.999,1.054,132.257,0.752,0.685,0.321,0.082,0.067,2131.0,https://www.vlr.gg/player/10642/jan?timespan=all,0.958,0.852
